Yr,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Jim Cleamons,PG,30,NYK,22,,11.5,1.4,3.1,.435,0.1,0.4,.375,1.2,2.8,.443,.457,0.5,0.7,.800,0.5,0.4,0.9,1.8,0.6,0.1,0.8,0.6,3.4
1980,Jim Cleamons,PG,30,WSB,57,,26.9,3.2,6.7,.483,0.1,0.4,.174,3.2,6.3,.503,.488,1.3,1.7,.735,0.8,1.6,2.3,4.4,0.8,0.2,1.6,2.1,7.8
1980,Doug Collins,SG,28,PHI,36,17,26.8,5.3,11.4,.466,0.0,0.0,.000,5.3,11.4,.467,.466,3.1,3.4,.911,0.8,1.8,2.6,2.8,0.8,0.2,2.3,2.1,13.8
1980,Jeff Cook,PF,23,PHO,66,,13.7,2.0,4.2,.469,0.0,0.0,.000,2.0,4.1,.474,.469,1.6,2.0,.806,1.4,2.3,3.7,1.3,0.4,0.3,1.1,1.5,5.5
1980,Michael Cooper,SG,23,LAL,82,,24.1,3.7,7.0,.524,0.1,0.2,.250,3.6,6.8,.534,.529,1.4,1.7,.776,1.2,1.6,2.8,2.7,1.0,0.5,1.7,2.6,8.8
1980,Wayne Cooper,PF,23,GSW,79,,22.5,4.6,9.5,.489,0.0,0.1,.250,4.6,9.4,.491,.490,1.7,2.3,.751,2.6,3.9,6.4,0.5,0.3,1.0,1.8,3.1,11.0
1980,Hollis Copeland,SF,24,NYK,75,,15.2,2.4,4.9,.495,0.0,0.0,.000,2.4,4.9,.497,.495,0.8,1.1,.733,0.9,1.1,2.1,1.1,0.8,0.3,1.1,2.1,5.7
1980,Dave Corzine,C,23,WSB,78,,10.6,1.2,2.8,.417,0.0,0.0,,1.2,2.8,.417,.417,0.6,0.9,.662,1.3,2.1,3.5,0.8,0.1,0.4,0.8,1.5,2.9
1980,John Coughran,SF,28,GSW,24,,6.7,1.2,3.4,.358,0.1,0.4,.222,1.1,3.0,.375,.370,0.3,0.6,.571,0.1,0.7,0.8,0.5,0.3,0.0,0.5,1.0,2.8
1980,Dave Cowens*,C,31,BOS,66,55,32.7,6.4,14.1,.453,0.0,0.2,.083,6.4,13.9,.458,.453,1.4,1.8,.779,1.9,6.2,8.1,3.1,1.0,0.9,1.6,3.3,14.2
1980,Charlie Criss,PG,31,ATL,81,,22.1,3.1,7.1,.431,0.0,0.2,.059,3.1,6.9,.442,.432,2.1,2.6,.811,0.3,1.1,1.4,3.0,0.9,0.0,1.6,1.6,8.3
1980,Terry Crosby,PG,23,KCK,4,,7.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.5,1.000,0.0,0.3,0.3,1.8,0.0,0.0,1.3,1.0,1.5
1980,Pat Cummings,C,23,MIL,71,,12.7,2.6,5.2,.505,0.0,0.0,,2.6,5.2,.505,.505,1.3,1.7,.764,1.1,2.2,3.4,0.7,0.3,0.2,1.0,2.0,6.6
1980,Bob Dandridge*,SF,32,WSB,45,,32.4,7.3,16.2,.451,0.0,0.2,.182,7.3,16.0,.455,.453,2.7,3.4,.809,1.4,4.1,5.5,4.0,0.6,0.8,2.7,2.5,17.4
1980,Adrian Dantley*,SF,24,UTA,68,,39.3,10.7,18.6,.576,0.0,0.0,.000,10.7,18.6,.577,.576,6.5,7.7,.842,2.7,4.9,7.6,2.8,1.4,0.2,3.4,3.1,28.0
1980,Brad Davis,PG,24,TOT,18,,14.9,1.9,3.5,.556,0.0,0.1,.000,1.9,3.4,.565,.556,0.7,0.9,.813,0.2,0.7,0.9,2.8,0.7,0.1,0.8,1.6,4.6
1980,Brad Davis,PG,24,IND,5,,8.6,0.4,1.4,.286,0.0,0.0,,0.4,1.4,.286,.286,0.6,0.8,.750,0.0,0.4,0.4,1.0,0.6,0.0,0.6,1.4,1.4
1980,Brad Davis,PG,24,UTA,13,,17.3,2.5,4.3,.589,0.0,0.1,.000,2.5,4.2,.600,.589,0.8,0.9,.833,0.3,0.8,1.2,3.5,0.8,0.1,0.8,1.6,5.8
1980,Harry Davis,SF,24,SAS,4,,7.5,1.5,3.0,.500,0.0,0.0,,1.5,3.0,.500,.500,0.3,0.5,.500,0.5,1.0,1.5,0.0,0.3,0.0,0.8,2.0,3.3
1980,Johnny Davis,PG,24,IND,82,,35.5,6.0,14.1,.428,0.0,0.5,.095,6.0,13.6,.440,.430,3.7,4.3,.864,1.2,1.5,2.8,5.4,1.3,0.3,2.5,2.2,15.9
1980,Walter Davis,SF,25,PHO,75,,30.8,8.8,15.5,.563,0.0,0.1,.000,8.8,15.5,.565,.563,4.0,4.9,.819,1.0,2.6,3.6,4.5,1.5,0.3,3.2,2.7,21.5
1980,Darryl Dawkins,C,23,PHI,80,80,31.8,6.2,11.8,.522,0.0,0.1,.000,6.2,11.8,.526,.522,2.4,3.6,.653,2.5,6.2,8.7,1.9,0.6,1.8,2.9,4.1,14.7
1980,Paul Dawkins,SF,22,UTA,57,,13.6,2.5,5.3,.470,0.0,0.1,.200,2.5,5.2,.475,.472,0.6,0.8,.688,0.7,1.5,2.2,1.4,0.6,0.2,1.3,2.0,5.5
1980,Greg Deane,SG,22,UTA,7,,6.9,0.3,1.6,.182,0.1,0.1,1.000,0.1,1.4,.100,.227,0.7,1.0,.714,0.3,0.6,0.9,0.9,0.0,0.0,0.4,0.4,1.4
1980,Larry Demic,PF,22,NYK,82,,22.8,2.8,6.4,.436,0.0,0.0,,2.8,6.4,.436,.436,1.3,2.2,.601,2.4,3.5,5.9,0.8,0.7,0.4,2.0,3.7,7.0
1980,Coby Dietrick,C,31,CHI,79,,23.2,2.9,6.3,.454,0.0,0.1,.111,2.9,6.2,.460,.455,1.1,1.5,.763,1.3,3.3,4.6,2.7,1.1,0.6,1.4,2.9,6.9
1980,Leon Douglas,C,25,DET,70,,25.5,3.2,6.5,.486,0.0,0.0,.000,3.2,6.5,.487,.486,1.8,2.6,.676,2.4,4.7,7.2,1.7,0.4,0.9,1.8,3.6,8.1
1980,John Drew,SF,25,ATL,80,,28.8,6.7,14.8,.453,0.0,0.1,.000,6.7,14.7,.455,.453,6.1,8.1,.757,2.5,3.4,5.9,1.3,1.1,0.3,3.0,3.9,19.5
1980,Terry Duerod,SG,23,DET,67,,19.9,4.2,8.9,.472,0.2,0.8,.283,4.0,8.1,.490,.484,0.7,1.0,.682,0.4,1.0,1.5,1.7,0.6,0.2,1.2,1.5,9.3
1980,Mike Dunleavy,PG,25,HOU,51,,20.3,2.9,6.3,.464,0.1,0.4,.150,2.8,5.9,.485,.469,2.2,2.6,.828,0.5,1.5,2.0,4.1,0.8,0.1,2.2,2.4,8.0
1980,T.R. Dunn,SG,24,POR,82,,22.5,2.9,6.7,.436,0.0,0.0,.000,2.9,6.7,.438,.436,1.0,1.4,.757,1.6,2.3,4.0,1.8,1.2,0.4,1.1,1.8,6.9
1980,James Edwards,C,24,IND,82,,28.2,6.4,12.6,.512,0.0,0.0,.000,6.4,12.6,.512,.512,2.8,4.1,.681,2.2,4.9,7.0,1.5,0.7,1.3,1.6,4.0,15.7
1980,Bob Elliott,PF,24,NJN,54,,13.4,1.9,4.2,.443,0.0,0.1,.250,1.9,4.1,.446,.445,1.9,2.8,.684,1.2,2.2,3.4,1.0,0.5,0.3,1.6,1.8,5.7
1980,Bo Ellis,PF,25,DEN,48,,10.5,1.3,2.8,.449,0.0,0.1,.000,1.3,2.8,.459,.449,0.8,1.1,.755,1.1,1.4,2.4,0.6,0.2,0.5,0.5,1.4,3.4
1980,Len Elmore,C,27,KCK,58,,15.8,1.8,4.2,.430,0.0,0.0,,1.8,4.2,.430,.430,0.9,1.3,.689,1.3,3.2,4.4,1.1,0.7,0.7,1.2,2.7,4.5
1980,Alex English*,SF,26,TOT,78,,30.8,7.1,14.3,.497,0.0,0.1,.333,7.1,14.2,.498,.498,2.7,3.4,.789,3.4,4.3,7.8,2.9,0.9,0.8,2.7,2.6,16.9
1980,Alex English*,SF,26,IND,54,,28.3,6.4,12.7,.504,0.0,0.1,.000,6.4,12.6,.507,.504,2.1,2.6,.814,3.1,3.9,7.0,2.6,0.8,0.6,2.3,2.4,14.9
1980,Alex English*,SF,26,DEN,24,,36.5,8.6,17.8,.485,0.1,0.1,.667,8.5,17.7,.483,.487,4.0,5.3,.762,4.3,5.1,9.4,3.4,1.2,1.2,3.8,3.3,21.3
1980,Julius Erving*,SF,29,PHI,78,78,36.1,10.7,20.7,.519,0.1,0.3,.200,10.7,20.4,.523,.520,5.4,6.8,.787,2.8,4.6,7.4,4.6,2.2,1.8,3.6,2.7,26.9
1980,Earl Evans,PF,24,DET,36,,10.6,1.8,3.9,.450,0.2,0.5,.389,1.6,3.4,.459,.475,0.7,1.2,.571,0.7,1.4,2.1,1.0,0.4,0.0,1.0,1.8,4.4
1980,Mike Evans,SG,24,SAS,79,,15.8,2.6,5.9,.448,0.2,0.5,.286,2.5,5.3,.464,.461,0.7,1.1,.682,0.4,1.0,1.4,2.9,0.8,0.1,1.6,2.5,6.2
1980,Eric Fernsten,PF,26,BOS,56,0,7.7,1.3,2.7,.464,0.0,0.0,,1.3,2.7,.464,.464,0.6,0.9,.635,0.7,1.0,1.7,0.5,0.3,0.2,0.4,0.8,3.1
1980,Chris Ford,SG,31,BOS,73,73,29.0,4.5,9.7,.465,1.0,2.2,.427,3.6,7.5,.477,.515,1.2,1.6,.754,1.1,1.4,2.5,2.9,1.5,0.4,1.4,2.4,11.2
1980,Don Ford,SF,27,TOT,73,,13.7,1.8,3.8,.478,0.0,0.0,.333,1.8,3.7,.480,.480,0.6,0.7,.849,0.6,1.9,2.5,0.9,0.3,0.3,0.7,1.8,4.2
1980,Don Ford,SF,27,LAL,52,,11.2,1.3,2.5,.508,0.0,0.0,.000,1.3,2.5,.512,.508,0.4,0.5,.821,0.4,1.4,1.9,0.7,0.2,0.3,0.6,1.7,3.0
1980,Don Ford,SF,27,CLE,21,,20.0,3.1,6.9,.451,0.0,0.1,.500,3.0,6.8,.451,.455,1.0,1.2,.880,1.0,3.1,4.1,1.4,0.5,0.3,1.0,2.1,7.3
