Yr,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1985,1,Larry Bird,28,BOS,73.0,763.0,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,.522,.427,.882,15.7,.238
1985,2,Magic Johnson,25,LAL,1.0,264.0,780,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,.561,.189,.843,12.7,.220
1985,3,Moses Malone,29,PHI,0.0,218.0,780,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,.469,.000,.815,11.9,.193
1985,4,Kareem Abdul-Jabbar,37,LAL,0.0,206.0,780,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,.599,.000,.732,11.2,.204
1985,5,Terry Cummings,23,MIL,2.0,138.0,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,.495,.000,.741,10.7,.189
1985,6,Michael Jordan,21,CHI,2.0,134.0,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,.515,.173,.845,14.0,.213
1985,7,Bernard King,28,NYK,0.0,70.0,780,0.090,55,37.5,32.9,5.8,3.7,1.3,0.3,.530,.100,.772,7.1,.166
1985,8,Sidney Moncrief,27,MIL,0.0,65.0,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,.483,.273,.828,11.2,.197
1985,9,Isiah Thomas,23,DET,0.0,63.0,780,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,.458,.257,.809,11.2,.173
1985,10,Ralph Sampson,24,HOU,0.0,26.0,780,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,.502,.000,.676,6.2,.096
1985,11,Calvin Natt,28,DEN,0.0,22.0,780,0.028,78,34.1,23.3,7.8,3.1,1.0,0.4,.546,.000,.793,10.2,.185
1985,12,Alex English,31,DEN,0.0,12.0,780,0.015,81,36.1,27.9,5.7,4.2,1.2,0.6,.518,.200,.829,8.9,.146
1985,13,Hakeem Olajuwon,22,HOU,0.0,12.0,780,0.015,82,35.5,20.6,11.9,1.4,1.2,2.7,.538,,.613,10.2,.168
1985,14,Micheal Ray Richardson,29,NJN,0.0,11.0,780,0.014,82,38.1,20.1,5.6,8.2,3.0,0.3,.469,.252,.767,8.7,.134
1985,15,Andrew Toney,27,PHI,0.0,5.0,780,0.006,70,32.0,17.8,2.5,5.2,0.9,0.3,.492,.371,.862,5.5,.118
1985,16,Mark Eaton,28,UTA,0.0,4.0,780,0.005,82,34.3,9.7,11.3,1.5,0.4,5.6,.449,,.712,5.4,.093
1985,17,Paul Pressey,26,MIL,0.0,3.0,780,0.004,80,36.0,16.1,5.4,6.8,1.6,0.7,.517,.350,.758,9.6,.160
1985,18,Jack Sikma,29,SEA,0.0,3.0,780,0.004,68,35.3,18.5,10.6,4.2,1.2,1.3,.489,.200,.852,8.3,.166
1985,19,Dominique Wilkins,25,ATL,0.0,3.0,780,0.004,81,37.3,27.4,6.9,2.5,1.7,0.7,.451,.309,.806,7.6,.121
1985,20,World B. Free,31,CLE,0.0,2.0,780,0.003,71,31.7,22.5,3.0,4.5,1.1,0.2,.459,.368,.749,6.0,.127
1985,21,Purvis Short,27,GSW,0.0,2.0,780,0.003,78,39.5,28.0,5.1,3.0,1.5,0.3,.460,.313,.817,6.2,.097
1985,22,Clyde Drexler,22,POR,0.0,1.0,780,0.001,80,31.9,17.2,6.0,5.5,2.2,0.9,.494,.216,.759,7.5,.141
1985,23,Julius Erving,34,PHI,0.0,1.0,780,0.001,78,32.5,20.0,5.3,3.0,1.7,1.4,.494,.214,.765,7.6,.144
1986,1,Larry Bird,29,BOS,73.0,765.0,780,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244
1986,2,Dominique Wilkins,26,ATL,5.0,407.0,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,.468,.186,.818,10.8,.170
1986,3,Magic Johnson,26,LAL,0.0,205.0,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,.526,.233,.871,12.1,.226
1986,4,Hakeem Olajuwon,23,HOU,0.0,193.0,780,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,.526,,.645,9.5,.186
1986,5,Kareem Abdul-Jabbar,38,LAL,0.0,135.0,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,.564,.000,.765,10.8,.197
1986,6,Charles Barkley,22,PHI,0.0,133.0,780,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,.572,.227,.685,10.8,.176
1986,7,Sidney Moncrief,28,MIL,0.0,56.0,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,.489,.320,.859,11.7,.219
1986,8,Alex English,32,DEN,0.0,55.0,780,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,.504,.200,.862,9.8,.156
1986,9,Isiah Thomas,24,DET,0.0,28.0,780,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,.488,.310,.790,8.8,.151
1986,10,Moses Malone,30,PHI,0.0,21.0,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1.0,.458,.000,.787,8.9,.157
1986,11,Terry Cummings,24,MIL,0.0,9.0,780,0.012,82,32.5,19.8,8.5,2.4,1.5,0.6,.474,.000,.656,7.4,.133
1986,12,James Worthy,24,LAL,0.0,7.0,780,0.009,75,32.7,20.0,5.2,2.7,1.1,1.0,.579,.000,.771,9.5,.185
1986,13,Kevin McHale,28,BOS,0.0,3.0,780,0.004,68,35.3,21.3,8.1,2.7,0.4,2.0,.574,,.776,11.0,.220
1986,14,Paul Pressey,27,MIL,0.0,3.0,780,0.004,80,33.8,14.3,5.0,7.8,2.1,0.9,.488,.182,.806,9.8,.174
1986,15,Alvin Robertson,23,SAS,0.0,3.0,780,0.004,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143
1986,16,Adrian Dantley,30,UTA,0.0,2.0,780,0.003,76,36.1,29.8,5.2,3.5,0.8,0.1,.563,.091,.791,12.8,.223
1986,17,Buck Williams,25,NJN,0.0,2.0,780,0.003,82,37.4,15.9,12.0,1.6,0.9,1.2,.523,.000,.676,6.8,.106
1986,18,Dennis Johnson,31,BOS,0.0,1.0,780,0.001,78,35.0,15.6,3.4,5.8,1.4,0.4,.455,.143,.818,6.7,.118
1987,1,Magic Johnson,27,LAL,65.0,733.0,780,0.940,80,36.3,23.9,6.3,12.2,1.7,0.5,.522,.205,.848,15.9,.263
1987,2,Michael Jordan,23,CHI,10.0,449.0,780,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,.482,.182,.857,16.9,.247
1987,3,Larry Bird,30,BOS,1.0,271.0,780,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,.525,.400,.910,15.2,.243
1987,4,Kevin McHale,29,BOS,0.0,254.0,780,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,.604,.000,.836,14.8,.232
1987,5,Dominique Wilkins,27,ATL,0.0,128.0,780,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,.463,.292,.818,12.2,.197
1987,6,Charles Barkley,23,PHI,1.0,113.0,780,0.145,68,40.3,23.0,14.6,4.9,1.8,1.5,.594,.202,.761,12.0,.210
1987,7,Hakeem Olajuwon,24,HOU,1.0,28.0,780,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,.508,.200,.702,10.9,.189
1987,8,Isiah Thomas,25,DET,0.0,17.0,780,0.022,81,37.2,20.6,3.9,10.0,1.9,0.2,.463,.194,.768,7.6,.121
1987,9,Fat Lever,26,DEN,0.0,11.0,780,0.014,82,37.2,18.9,8.9,8.0,2.5,0.4,.469,.239,.782,9.7,.153
1987,10,Moses Malone,31,WSB,0.0,9.0,780,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,.454,.000,.824,9.4,.182
1987,11,Steve Johnson,29,POR,0.0,4.0,780,0.005,79,29.7,16.8,7.2,2.0,0.6,1.0,.556,,.698,4.4,.091
1987,12,Karl Malone,23,UTA,0.0,3.0,780,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,.512,.000,.598,6.9,.116
1987,13,Robert Parish,33,BOS,0.0,3.0,780,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,.556,.000,.735,9.2,.147
1987,14,Alex English,33,DEN,0.0,2.0,780,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,.503,.267,.844,8.1,.126
1987,15,Mark Aguirre,27,DAL,0.0,1.0,780,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,.495,.353,.770,8.9,.160
1987,16,Rolando Blackman,27,DAL,0.0,1.0,780,0.001,80,34.5,21.0,3.5,3.3,0.8,0.3,.495,.333,.884,8.0,.140
1987,17,Joe Barry Carroll,28,GSW,0.0,1.0,780,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,.472,,.787,4.6,.082
1988,1,Michael Jordan,24,CHI,47.0,665.0,800,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,.535,.132,.841,21.2,.308
1988,2,Larry Bird,31,BOS,16.0,527.0,800,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,.527,.414,.916,15.0,.243
1988,3,Magic Johnson,28,LAL,16.0,508.0,800,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,.492,.196,.853,10.9,.199
1988,4,Charles Barkley,24,PHI,1.0,109.0,800,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,.587,.280,.751,16.7,.253
1988,5,Clyde Drexler,25,POR,0.0,86.0,800,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,.506,.212,.811,13.2,.207
1988,6,Dominique Wilkins,28,ATL,0.0,55.0,800,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,.464,.295,.826,9.8,.160
1988,7,Hakeem Olajuwon,25,HOU,0.0,40.0,800,0.050,79,35.8,22.8,12.1,2.1,2.1,2.7,.514,.000,.695,10.7,.182
1988,8,Karl Malone,24,UTA,0.0,36.0,800,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,.520,.000,.700,10.1,.152
1988,9,Fat Lever,27,DEN,0.0,26.0,800,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,.473,.211,.785,10.4,.163
1988,10,John Stockton,25,UTA,0.0,15.0,800,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,.574,.358,.840,14.1,.238
1988,11,Alex English,34,DEN,0.0,4.0,800,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,.495,.000,.828,7.6,.129
1988,12,Isiah Thomas,26,DET,0.0,3.0,800,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,.463,.309,.774,7.6,.124
1988,13,Mark Jackson,22,NYK,0.0,2.0,800,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,.432,.254,.774,7.6,.113
1988,14,Michael Adams,25,DEN,0.0,1.0,800,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,.449,.367,.834,7.5,.130
1988,15,Mark Aguirre,28,DAL,0.0,1.0,800,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,.475,.302,.770,8.8,.163
1988,16,Adrian Dantley,32,DET,0.0,1.0,800,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,.514,.000,.860,9.4,.210
1988,17,Buck Williams,27,NJN,0.0,1.0,800,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,.560,1.000,.668,7.6,.138
1989,1,Magic Johnson,29,LAL,42.5,664.5,850,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,.509,.314,.911,16.1,.267
1989,2,Michael Jordan,25,CHI,27.5,598.8,850,0.704,81,40.2,32.5,8.0,8.0,2.9,0.8,.538,.276,.850,19.8,.292
1989,3,Karl Malone,25,UTA,5.0,362.0,850,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,.519,.313,.766,15.2,.233
1989,4,Patrick Ewing,26,NYK,8.0,200.0,850,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,.567,.000,.746,10.9,.181
