Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
1997,Indiana Pacers,39,43,0.47600000000000003,30.0,95.4,94.4,1.49,N,Y
1997,Milwaukee Bucks,33,49,0.402,36.0,95.3,97.2,-1.38,N,Y
1997,Toronto Raptors,30,52,0.366,39.0,95.5,98.6,-2.56,N,Y
1997,Utah Jazz,64,18,0.78,—,103.1,94.3,7.97,Y,N
1997,Houston Rockets,57,25,0.695,7.0,100.6,96.1,3.85,Y,N
1997,Minnesota Timberwolves,40,42,0.488,24.0,96.1,97.6,-1.82,Y,Y
1997,Dallas Mavericks,24,58,0.293,40.0,90.6,97.0,-6.47,N,Y
1997,Denver Nuggets,21,61,0.256,43.0,97.8,104.1,-6.4,N,Y
1997,San Antonio Spurs,20,62,0.244,44.0,90.5,98.3,-7.93,N,Y
1997,Vancouver Grizzlies,14,68,0.171,50.0,89.2,99.4,-10.17,N,Y
1997,Seattle SuperSonics,57,25,0.695,—,100.9,93.2,6.91,Y,N
1997,Los Angeles Lakers,56,26,0.6829999999999999,1.0,100.0,95.7,3.66,Y,N
1997,Portland Trail Blazers,49,33,0.598,8.0,99.0,94.8,3.56,Y,N
1997,Phoenix Suns,40,42,0.488,17.0,102.8,102.2,0.21,Y,Y
1997,Los Angeles Clippers,36,46,0.439,21.0,97.2,99.5,-2.66,Y,Y
1997,Sacramento Kings,34,48,0.415,23.0,96.4,99.8,-3.64,N,Y
1997,Golden State Warriors,30,52,0.366,27.0,99.6,104.4,-4.9,N,Y
1998,Miami Heat,55,27,0.6709999999999999,—,95.0,90.0,5.09,Y,N
1998,New York Knicks,43,39,0.524,12.0,91.6,89.1,2.74,Y,N
1998,New Jersey Nets,43,39,0.524,12.0,99.6,98.1,1.88,Y,N
1998,Washington Wizards,42,40,0.512,13.0,97.2,96.6,1.11,N,N
1998,Orlando Magic,41,41,0.5,14.0,90.1,91.2,-0.53,N,N
1998,Boston Celtics,36,46,0.439,19.0,95.9,98.5,-1.96,N,Y
1998,Philadelphia 76ers,31,51,0.37799999999999995,24.0,93.3,95.7,-1.89,N,Y
1998,Chicago Bulls,62,20,0.7559999999999999,—,96.7,89.6,7.24,Y,N
1998,Indiana Pacers,58,24,0.7070000000000001,4.0,96.0,89.9,6.25,Y,N
1998,Charlotte Hornets,51,31,0.622,11.0,96.6,94.6,2.45,Y,N
1998,Atlanta Hawks,50,32,0.61,12.0,95.9,92.3,3.85,Y,N
1998,Cleveland Cavaliers,47,35,0.573,15.0,92.5,89.8,3.06,Y,N
1998,Detroit Pistons,37,45,0.451,25.0,94.2,92.6,1.95,N,Y
1998,Milwaukee Bucks,36,46,0.439,26.0,94.5,96.4,-1.33,N,Y
1998,Toronto Raptors,16,66,0.195,46.0,94.9,104.2,-8.33,N,Y
1998,Utah Jazz,62,20,0.7559999999999999,—,101.0,94.4,5.73,Y,N
1998,San Antonio Spurs,56,26,0.6829999999999999,6.0,92.5,88.5,3.3,Y,N
1998,Minnesota Timberwolves,45,37,0.5489999999999999,17.0,101.1,100.4,0.17,Y,N
1998,Houston Rockets,41,41,0.5,21.0,98.8,99.5,-1.23,Y,N
1998,Dallas Mavericks,20,62,0.244,42.0,91.4,97.5,-6.33,N,Y
1998,Vancouver Grizzlies,19,63,0.23199999999999998,43.0,96.6,103.9,-7.47,N,Y
1998,Denver Nuggets,11,71,0.134,51.0,89.0,100.8,-11.74,N,Y
1998,Seattle SuperSonics,61,21,0.7440000000000001,—,100.6,93.4,6.33,Y,N
1998,Los Angeles Lakers,61,21,0.7440000000000001,—,105.5,97.8,6.88,Y,N
1998,Phoenix Suns,56,26,0.6829999999999999,5.0,99.6,94.4,4.44,Y,N
1998,Portland Trail Blazers,46,36,0.561,15.0,94.3,92.9,0.83,Y,N
1998,Sacramento Kings,27,55,0.32899999999999996,34.0,93.1,98.7,-5.83,N,Y
1998,Golden State Warriors,19,63,0.23199999999999998,42.0,88.3,97.4,-9.2,N,Y
1998,Los Angeles Clippers,17,65,0.207,44.0,95.9,103.3,-7.53,N,Y
1999,Miami Heat,33,17,0.66,—,89.0,84.0,5.11,Y,N
1999,Orlando Magic,33,17,0.66,—,89.5,86.9,3.11,Y,N
1999,Philadelphia 76ers,28,22,0.56,5.0,89.7,87.6,2.56,Y,N
1999,New York Knicks,27,23,0.54,6.0,86.4,85.4,1.45,Y,N
1999,Boston Celtics,19,31,0.38,14.0,93.0,94.9,-1.75,N,Y
1999,Washington Wizards,18,32,0.36,15.0,91.2,93.4,-1.75,N,Y
1999,New Jersey Nets,16,34,0.32,17.0,91.4,95.2,-3.2,N,Y
1999,Indiana Pacers,33,17,0.66,—,94.7,90.9,3.86,Y,N
1999,Atlanta Hawks,31,19,0.62,2.0,86.3,83.4,2.82,Y,N
1999,Detroit Pistons,29,21,0.58,4.0,90.4,86.9,3.97,Y,N
1999,Milwaukee Bucks,28,22,0.56,5.0,91.7,90.0,1.66,Y,N
1999,Charlotte Hornets,26,24,0.52,7.0,92.9,93.0,0.63,N,N
